,ds,yhat,yhat_lower,yhat_upper,total_sales
493,2021-02-11,14697.70961323232,8805.693334097223,19943.675493950515,12719.41
494,2021-02-12,16453.46622831023,10657.748858971094,21917.903223681988,12168.98
495,2021-02-13,18220.087331993695,12444.260206638291,23748.168499950545,11679.35
496,2021-02-14,13769.53592844592,7750.820575572017,19486.22018700143,13664.58
497,2021-02-15,12815.92237412208,7120.507794901833,18499.24452925686,14881.78
498,2021-02-16,12072.60821310454,6321.973221493666,17999.208393637204,14217.5
499,2021-02-17,12052.539930284069,6139.384502817705,17727.095452069876,14568.5
500,2021-02-18,13058.674780644373,6990.166866447106,19099.524291998485,11748.08
501,2021-02-19,14975.686959722065,9042.411958214696,20046.120341706373,12909.22
502,2021-02-20,16929.83017711506,11493.76650385726,22470.190732919746,9132.41
503,2021-02-21,12687.877690495989,7051.099532164692,18272.34278481881,12209.69
504,2021-02-22,11958.521527396222,6134.485908877317,17661.406097869152,13873.48
505,2021-02-23,11449.62590237445,5557.497190765788,17196.08792081845,13677.07
506,2021-02-24,11668.705105454092,5783.190003761359,17496.851145902634,13354.18
507,2021-02-25,12913.484249287174,7263.28548170561,18377.14637339722,19768.82
508,2021-02-26,15063.727781280577,9393.417954601997,21072.34107985798,11854.07
509,2021-02-27,17241.208961275534,11880.073543063872,22758.799637687534,11823.42
510,2021-02-28,13208.739065865551,7491.894819047835,19219.45182254077,13388.31
511,2021-03-01,12671.636365260269,6802.448009736753,18563.54248713941,15932.72
512,2021-03-02,12335.028842874372,6707.459538927679,18074.974581369548,18453.2
513,2021-03-03,12704.360549521323,7094.974968265657,18245.28389676277,15430.85
514,2021-03-04,14075.960237864168,8340.031624051193,19599.324381490176,12573.32
515,2021-03-05,16328.858054053955,10848.063908277882,22016.215516861157,11567.41
516,2021-03-06,18584.724921474288,12610.032691876682,24660.017990036085,11015.44
517,2021-03-07,14606.855311773226,9023.717985459038,20134.307880214845,15707.97
518,2021-03-08,14101.575805206146,8566.432146236193,19965.227339216544,16895.28
519,2021-03-09,13775.476098351355,8282.359457359336,20045.83579559877,12565.36
520,2021-03-10,14135.835275400914,8303.9386181083,19919.76699203881,13306.31
521,2021-03-11,15481.105046099849,9886.699027394685,21365.16584185812,9661.62
522,2021-03-12,17692.63880700625,11873.134973241253,23853.58099744185,11132.2
523,2021-03-13,19894.54421891365,14105.433311317644,25530.31394843506,13282.47
524,2021-03-14,15852.582762819326,10226.123263982328,21673.482270363053,10838.59
525,2021-03-15,15275.501351438012,9409.161693905347,20627.47927637101,15275.34
526,2021-03-16,14872.194872413753,9284.706025589596,20722.718431601555,18377.36
527,2021-03-17,15152.074347845402,9951.860231646371,21285.411323186967,14809.67
528,2021-03-18,16415.503824331627,10676.800427984032,22141.10854265639,11006.9
529,2021-03-19,18545.495786714084,12907.199003624404,24307.188343390622,8751.55
530,2021-03-20,20667.543175955125,15337.118450706286,26405.247798570817,11558.51
531,2021-03-21,16548.51148438553,10853.693419127769,22014.147352345542,15251.22
532,2021-03-22,15897.975370159043,9796.763181059232,21660.442595193705,12357.5
533,2021-03-23,15425.39770592351,9407.548495649762,21258.09685362396,17668.58
534,2021-03-24,15640.524335181282,9888.767810589066,20742.655620916,11499.84
535,2021-03-25,16843.855907770503,11455.629321058936,23008.055140314627,9118.77
536,2021-03-26,18918.38457704877,13440.648881077866,24919.937299244197,8232.4
537,2021-03-27,20989.47144028249,15212.79925382855,26447.416923984227,7722.36
538,2021-03-28,16823.785893970242,11362.855074925112,22599.189558758728,13451.37
539,2021-03-29,16130.689029073168,10390.418239241872,22181.26305092992,11743.7
540,2021-03-30,15619.456736915332,9842.761178369385,21883.460369736265,17336.35
541,2021-03-31,15799.71371005967,9814.53581124838,21420.54770400607,15337.56
542,2021-04-01,16971.93785445774,11013.034858737175,22658.857466340596,10973.41
543,2021-04-02,19019.22134120508,13498.144855302293,24521.3970829629,16109.18
544,2021-04-03,21067.1629846913,15404.940130790166,26401.70617834248,10937.67
545,2021-04-04,16882.812326465264,11552.363970103715,22885.955448699908,9454.76
546,2021-04-05,16176.047191014051,10888.526670604871,21968.515662806916,16357.78
547,2021-04-06,15656.78047113204,9940.592367128504,21543.23504814082,16719.81
548,2021-04-07,15835.367859586722,10170.435354956548,21209.135786507017,11613.68
549,2021-04-08,17013.077002384878,11377.913050081648,23018.227698503106,15760.76
550,2021-04-09,19073.805654859647,13461.998090914234,24565.527699362923,10281.91
551,2021-04-10,21143.92522561232,15594.768211104803,26725.34961290127,14746.67
552,2021-04-11,16991.17207691375,11339.424656248251,23000.475237351828,12648.9
553,2021-04-12,16325.970541756253,10217.987739098831,21935.123618023303,19204.68
554,2021-04-13,15858.585760145892,10137.132549088015,21837.843212447297,15089.36
555,2021-04-14,16099.480438055096,10458.62443584726,21670.204190451957,16433.99
556,2021-04-15,17349.7383598529,11623.07366745549,23350.08617443934,10509.15
557,2021-04-16,19492.7444680495,13769.663910557258,25285.61306586009,8603.9
558,2021-04-17,21653.999922111638,16151.042937671747,27480.241580065653,9897.4
559,2021-04-18,17599.996242789,11806.14470144134,23355.12214442132,13229.03
560,2021-04-19,17039.533895868888,11314.924403797111,22710.28191181844,16470.73
561,2021-04-20,16680.884385707097,10554.081307613187,22174.37401471733,13685.39
562,2021-04-21,17032.17048102288,11096.625229395771,22634.883599762907,15515.17
563,2021-04-22,18391.827430915306,12616.06783024872,24021.565783318216,11546.69
564,2021-04-23,20640.334508842825,15158.02210023539,26780.96474096842,11080.47
565,2021-04-24,22900.09431952433,17281.22218836975,28641.4709855979,10781.81
566,2021-04-25,18934.38251596569,12764.394901888403,24791.048126826387,14381.57
567,2021-04-26,18448.751374778087,12841.55604479819,24594.43772306584,12626.06
568,2021-04-27,18148.2839983378,12228.666635662106,23999.19543002552,14881.09
569,2021-04-28,18538.07113408973,12802.848478590724,24578.14987899284,9778.91
570,2021-04-29,19913.770582957783,14019.001003936675,26084.964170524152,11314.17
571,2021-04-30,22153.435482575,16568.500190969466,27952.025148674747,10585.76
572,2021-05-01,24377.485775956557,18576.67739857175,29753.40414121081,6674.02
573,2021-05-02,20347.74241597871,14799.254600280485,26132.511934797083,15405.69
574,2021-05-03,19768.904782905003,13831.77453983566,25360.887235372687,13480.2
575,2021-05-04,19345.86533821392,13666.487391536552,25190.10023523902,12470.05
576,2021-05-05,19584.231077280143,13600.754828959343,25439.532382472884,11551.06
577,2021-05-06,20780.909728035676,15252.369565560784,26472.894038632272,9209.1
578,2021-05-07,22815.94543362427,17012.35826371308,28711.31845592004,17468.82
579,2021-05-08,24812.477219730376,19164.31464656696,30602.036126501655,11712.72
580,2021-05-09,20535.739370032377,15106.45206814604,25963.196624883654,10392.57
581,2021-05-10,19694.48437147384,13882.521011439274,25498.40876375812,19345.79
582,2021-05-11,18998.22325838166,13361.1367724662,24706.782640912545,17482.48
